start_x,start_y,duration
196.12517937803926,37.4198791921399,384.0
188.01418241221617,-233.89796615358415,250.0
-139.5075093120483,-161.41747570636852,283.0
220.13450978123083,-223.37264824185417,350.0
-93.34550940714139,410.1301364789132,108.0
188.6311982086332,198.18388140846983,492.0
109.4486377156102,48.89771378594543,567.0
270.1309247516864,-190.87620682809006,433.0
183.03586981777354,185.57939903261328,758.0
4.063025216584803,-211.54162822490468,291.0
221.38630055269874,-227.81084625543144,1200.0
-88.03580090141521,239.29498347305213,200.0
